county,republican,democrat,minor_party,no_party,totals
0,alachua,51428,94991,3012,43890,193321
1,baker,10702,4420,172,2017,17311
2,bay,67625,29906,2531,27278,127340
3,bradford,9578,5476,174,2679,17907
4,brevard,193203,138446,10317,115936,457902
5,broward,270069,636563,18190,356977,1281799
6,calhoun,3650,4006,58,1017,8731
7,charlotte,71011,39358,3253,39763,153385
8,citrus,61150,28769,2210,27676,119805
9,clay,89364,37107,2865,36868,166204
10,collier,121627,58857,3594,57963,242041
11,columbia,22367,13581,585,7869,44402
12,desoto,7113,6600,154,4195,18062
13,dixie,5759,3080,104,1751,10694
14,duval,233435,273866,11721,141715,660737
15,escambia,103849,78632,4335,49553,236369
16,flagler,41074,28540,1429,23518,94561
17,franklin,3387,3469,185,1131,8172
18,gadsden,5375,22323,246,3210,31154
19,gilchrist,7183,2337,161,1576,11257
20,glades,3453,2313,113,1317,7196
21,gulf,5882,3183,260,1267,10592
22,hamilton,3221,3806,103,1071,8201
23,hardee,6462,3989,88,2647,13186
24,hendry,7741,7573,262,3635,19211
25,hernando,63389,42194,2807,37782,146172
26,highlands,32173,18977,831,15910,67891
27,hillsborough,287314,357372,16338,257609,918633
28,holmes,7502,2589,96,1441,11628
29,indian_river,58447,34485,2674,30531,126137
30,jackson,14153,12431,191,3383,30158
31,jefferson,3800,4835,61,1119,9815
32,lafayette,3039,1177,47,322,4585
33,lake,117236,79216,3816,69275,269543
34,lee,214784,134874,8085,144806,502549
35,leon,56855,114173,3131,40413,214572
36,levy,15742,8634,691,5371,30438
37,liberty,1681,2383,8,449,4521
38,madison,4432,6214,80,1384,12110
39,manatee,119497,83547,4717,68772,276533
40,marion,122060,83875,4118,58057,268110
41,martin,58541,30238,2434,28004,119217
42,miami-dade,429654,630013,21860,487904,1569431
43,monroe,23871,18903,1249,14309,58332
44,nassau,42912,15293,1569,14735,74509
45,okaloosa,86525,29860,3298,34769,154452
46,okeechobee,11107,6834,350,4412,22703
47,orange,222572,379820,14550,262884,879826
48,osceola,55136,99802,2988,81951,239877
49,palm_beach,291343,427539,20854,286511,1026247
50,pasco,159393,117920,7721,112577,397611
51,pinellas,246539,250977,12951,192896,703363
52,polk,169869,156937,7722,126057,460585
53,putnam,23574,17260,622,10064,51520
54,santa_rosa,87033,27408,3631,31009,149081
55,sarasota,146959,106859,6156,87188,347162
56,seminole,117376,117166,6426,97209,338177
57,st_johns,112820,52803,3980,45721,215324
58,st_lucie,76400,89547,3909,60102,229958
59,sumter,61018,25412,991,21148,108569
60,suwannee,14981,8449,400,4349,28179
61,taylor,6600,4865,118,1373,12956
62,union,4441,2483,80,765,7769
63,volusia,152773,133026,7789,114674,408262
64,wakulla,11080,7695,344,4063,23182
65,walton,35701,10471,1138,11537,58847
66,washington,9714,4718,165,2716,17313
